set_id,power_w,scan_speed_mm_s,layer_thickness_mm,hatch_spacing_mm,linear_energy_density_j_mm,volumetric_energy_density_j_mm3,modified_energy_density,power_speed_product,surface_roughness_avg_um,xct_porosity_pct,archimedes_porosity_pct,vickers_hardness_hv,ultimate_tensile_strength_mpa,yield_strength_mpa,elongation_to_fracture_pct,youngs_modulus_gpa
1.0,60.0,250.0,0.06,0.1,0.24,40.0,3.794733192202055,15.0,13.954202107820963,0.0446431074866218,0.9734107970251535,117.2342117,372.0,222.59552037464306,3.19,71.5
2.0,160.0,250.0,0.06,0.1,0.64,106.66666666666667,10.119288512538814,40.0,12.423227729171687,0.270461681362673,0.8934727113495857,115.3634354,384.5,219.60846464160852,3.54,67.94031620946396
3.0,160.0,800.0,0.06,0.1,0.2,33.33333333333333,5.65685424949238,128.0,17.565656540510513,0.260757189506263,1.027376964026123,115.3993375,361.5,191.8555654585095,3.3499999999999996,59.5
4.0,160.0,1350.0,0.06,0.1,0.11851851851851852,19.75308641975309,4.354648431614539,216.0,17.265579110250037,0.0694003685145416,0.6072574442432943,139.7580604,374.5,216.0698671671219,3.41,75.5
5.0,260.0,250.0,0.06,0.1,1.04,173.33333333333334,16.443843832875572,65.0,17.371732590275688,0.0914978444559403,1.0961964005006544,117.5589613,374.5,222.51651929965504,3.19,74.5
6.0,260.0,800.0,0.06,0.1,0.325,54.16666666666666,9.192388155425117,208.0,15.603633423533763,0.113331633994471,1.2439475469558652,110.4746733,374.0,213.64839611071505,3.45,78.5
7.0,260.0,1350.0,0.06,0.1,0.1925925925925926,32.098765432098766,7.076303701373625,351.0,16.248075516248523,0.246629046667389,0.5569511450256911,112.5465703,360.0,212.10907203795793,3.25,72.0
8.0,260.0,1900.0,0.06,0.1,0.1368421052631579,22.807017543859647,5.9648090806346055,494.0,14.754669067422913,0.0984831275966161,0.8359065640405369,114.3552698,369.5,219.62168102739153,3.41,70.0
9.0,360.0,250.0,0.06,0.1,1.44,240.0,22.768399153212332,90.0,14.122985790381737,0.271677962533006,1.3682633794054946,119.1002224,376.0,219.99336238649408,3.2199999999999998,66.0
10.0,360.0,800.0,0.06,0.1,0.45,74.99999999999999,12.727922061357855,288.0,17.01650069338386,0.216507834763335,0.6198542798710762,113.6261318,374.5,225.97586555165586,3.575,67.5
